GameDataRecords from User Named:KobayashiMayaka
EXPDayIndex,ResultType,CurrentUsedSpeed,LaunchedTime,ReactiontimeInterval,CurrentSuccessRate
1,E_Failure_CollRed,1000.0,128.629379,0.549866,0.0
1,E_Success_CollGreen,1000.0,128.629379,0.549866,0.0
1,E_Success_CollGreen,1000.0,128.629379,0.549866,0.0
1,E_Failure_CollRed,1000.0,128.629379,0.549866,0.0
1,E_Success_InterCeptRed,1000.0,129.179245,0.183289,0.0
1,E_Failure_InterCeptGreen,1000.0,129.179245,0.199951,0.0
1,E_Failure_CollRed,1000.0,129.179245,0.549866,0.0
1,E_Failure_CollRed,1000.0,129.179245,0.549866,0.0
1,E_Failure_CollRed,1000.0,129.362534,0.549866,0.0
1,E_Failure_CollRed,1000.0,129.379196,0.533203,0.0
1,E_Failure_InterCeptGreen,1000.0,129.729111,0.283264,0.0
1,E_Failure_InterCeptGreen,1000.0,129.729111,0.283264,0.0
1,E_Success_InterCeptRed,1000.0,129.912399,0.099976,0.0
1,E_Failure_CollRed,1000.0,129.912399,0.549866,0.0
1,E_Success_CollGreen,1000.0,130.012375,0.533203,0.0
1,E_Success_CollGreen,1000.0,130.012375,0.533203,0.0
1,E_Success_CollGreen,1000.0,130.012375,0.533203,0.0
1,E_Failure_InterCeptGreen,1000.0,130.462265,0.183289,0.0
1,E_Failure_CollRed,1000.0,130.545578,0.549866,0.0
1,E_Success_CollGreen,1000.0,130.545578,0.549866,0.0
1,E_Failure_CollRed,1000.0,130.545578,0.549866,0.0
1,E_Failure_CollRed,1000.0,130.645554,0.549866,0.4
1,E_Failure_InterCeptGreen,1000.0,131.095444,0.149963,0.35
1,E_Failure_InterCeptGreen,1000.0,131.195419,0.166626,0.3
1,E_Success_CollGreen,1000.0,131.095444,0.549866,0.3
1,E_Success_CollGreen,1000.0,131.095444,0.549866,0.3
1,E_Failure_CollRed,1000.0,131.245407,0.533203,0.35
1,E_Success_InterCeptRed,1000.0,131.77861,0.049988,0.35
1,E_Failure_InterCeptGreen,1000.0,131.362045,0.533203,0.4
1,E_Failure_CollRed,1000.0,131.645309,0.549866,0.4
1,E_Success_CollGreen,1000.0,131.645309,0.549866,0.4
1,E_Success_InterCeptRed,1000.0,132.195175,0.166626,0.45
1,E_Success_CollGreen,1000.0,131.828598,0.533203,0.5
1,E_Success_CollGreen,1000.0,131.895248,0.549866,0.5
1,E_Success_CollGreen,1000.0,132.195175,0.549866,0.55
1,E_Success_CollGreen,1000.0,132.361801,0.533203,0.55
1,E_Success_CollGreen,1000.0,132.361801,0.549866,0.55
1,E_Success_CollGreen,1000.0,132.445114,0.549866,0.55
1,E_Success_CollGreen,1000.0,132.745041,0.549866,0.6
1,E_Success_InterCeptRed,1000.0,132.895004,0.533203,0.65
1,E_Failure_CollRed,1000.0,132.911667,0.549866,0.65
1,E_Failure_InterCeptGreen,1000.0,133.461533,0.033325,0.65
1,E_Failure_CollRed,1000.0,132.99498,0.549866,0.65
1,E_Success_InterCeptRed,1000.0,133.544846,0.016663,0.65
1,E_Success_CollGreen,1000.0,133.294907,0.549866,0.7
1,E_Failure_CollRed,1000.0,133.428207,0.533203,0.7
1,E_Success_CollGreen,1000.0,133.494858,0.533203,0.65
1,E_Success_CollGreen,1000.0,133.561508,0.549866,0.7
1,E_Success_InterCeptRed,1000.0,133.961411,0.233276,0.7
1,E_Success_CollGreen,1000.0,133.844772,0.549866,0.75
1,E_Success_CollGreen,1000.0,134.028061,0.549866,0.8
1,E_Success_CollGreen,1000.0,134.111374,0.549866,0.8
1,E_Success_CollGreen,1000.0,134.194687,0.533203,0.8
1,E_Failure_InterCeptGreen,1000.0,134.72789,0.099976,0.8
1,E_Success_CollGreen,1000.0,134.394638,0.549866,0.75
1,E_Success_CollGreen,1000.0,134.577927,0.549866,0.75
1,E_Success_CollGreen,1000.0,134.66124,0.549866,0.75
1,E_Success_CollGreen,1000.0,134.827866,0.533203,0.75
1,E_Failure_CollRed,1000.0,134.944504,0.549866,0.75
1,E_Failure_InterCeptGreen,1000.0,135.49437,0.016663,0.7
1,E_Success_CollGreen,1000.0,135.127792,0.549866,0.65
1,E_Failure_CollRed,1000.0,135.211105,0.549866,0.7
1,E_Failure_CollRed,1000.0,135.361069,0.549866,0.7
1,E_Success_InterCeptRed,1000.0,135.760971,0.199951,0.7
1,E_Failure_InterCeptGreen,1000.0,135.677658,0.299927,0.7
1,E_Failure_InterCeptGreen,1000.0,135.910934,0.116638,0.65
1,E_Failure_CollRed,1000.0,135.511032,0.533203,0.65
1,E_Success_CollGreen,1000.0,135.960922,0.549866,0.6
1,E_Success_CollGreen,1000.0,135.977585,0.533203,0.6
1,E_Failure_CollRed,1000.0,136.027573,0.533203,0.6
