GameDataRecords from User Named:Adachi Shun
EXPDayIndex,ResultType,CurrentUsedSpeed,LaunchedTime,ReactiontimeInterval,CurrentSuccessRate
1,E_Failure_CollRed,1000.0,16.373526,0.549301,0.0
1,E_Failure_CollRed,1000.0,16.373526,0.549301,0.0
1,E_Failure_CollRed,1000.0,16.373526,0.549301,0.0
1,E_Failure_CollRed,1000.0,16.373526,0.549301,0.0
1,E_Success_InterCeptRed,1000.0,16.922827,0.50662,0.0
1,E_Failure_InterCeptGreen,1000.0,16.922827,0.515995,0.0
1,E_Failure_CollRed,1000.0,16.922827,0.549835,0.0
1,E_Success_CollGreen,1000.0,16.922827,0.549835,0.0
1,E_Success_InterCeptRed,1000.0,17.472662,0.039314,0.0
1,E_Failure_InterCeptGreen,1000.0,17.429447,0.41675,0.0
1,E_Failure_CollRed,1000.0,17.438822,0.545788,0.0
1,E_Success_CollGreen,1000.0,17.472662,0.549835,0.0
1,E_Failure_InterCeptGreen,1000.0,17.98461,0.063004,0.0
1,E_Success_CollGreen,1000.0,17.511976,0.551088,0.0
1,E_Failure_CollRed,1000.0,17.846197,0.541508,0.0
1,E_Failure_InterCeptGreen,1000.0,18.387705,0.03368,0.0
1,E_Success_InterCeptRed,1000.0,18.047613,0.427532,0.0
1,E_Success_CollGreen,1000.0,18.022497,0.551102,0.0
1,E_Success_CollGreen,1000.0,18.063065,0.549648,0.0
1,E_Failure_InterCeptGreen,1000.0,18.421385,0.511395,0.0
1,E_Success_InterCeptRed,1000.0,18.475145,0.466482,0.0
1,E_Success_CollGreen,1000.0,18.573599,0.548923,0.45
1,E_Success_CollGreen,1000.0,18.612713,0.549719,0.5
1,E_Success_InterCeptRed,1000.0,18.932779,0.506268,0.55
1,E_Success_CollGreen,1000.0,18.941628,0.542791,0.6
1,E_Success_InterCeptRed,1000.0,19.162432,0.481146,0.6
1,E_Success_CollGreen,1000.0,19.122522,0.54681,0.65
1,E_Success_CollGreen,1000.0,19.439047,0.545155,0.7
1,E_Success_CollGreen,1000.0,19.484419,0.547798,0.7
1,E_Success_InterCeptRed,1000.0,19.643578,0.418615,0.7
1,E_Success_CollGreen,1000.0,19.669333,0.548973,0.75
1,E_Success_InterCeptRed,1000.0,20.032217,0.470724,0.8
1,E_Success_CollGreen,1000.0,19.984201,0.547682,0.8
1,E_Failure_CollRed,1000.0,20.062193,0.547878,0.85
1,E_Failure_InterCeptGreen,1000.0,20.531883,0.153988,0.8
1,E_Success_InterCeptRed,1000.0,20.610071,0.124893,0.8
1,E_Success_CollGreen,1000.0,20.218306,0.551527,0.85
1,E_Failure_InterCeptGreen,1000.0,20.502941,0.407585,0.85
1,E_Success_InterCeptRed,1000.0,20.685871,0.537384,0.8
1,E_Success_CollGreen,1000.0,20.734964,0.548731,0.8
1,E_Success_CollGreen,1000.0,20.769833,0.547853,0.85
1,E_Success_CollGreen,1000.0,20.910526,0.543221,0.85
1,E_Failure_InterCeptGreen,1000.0,21.223255,0.45233,0.85
1,E_Success_InterCeptRed,1000.0,21.283695,0.412178,0.8
1,E_Failure_InterCeptGreen,1000.0,21.695873,0.149,0.8
1,E_Success_InterCeptRed,1000.0,21.317686,0.536633,0.75
1,E_Failure_CollRed,1000.0,21.453747,0.547943,0.75
1,E_Success_InterCeptRed,1000.0,21.844873,0.375296,0.7
1,E_Failure_CollRed,1000.0,21.675585,0.544584,0.7
1,E_Success_InterCeptRed,1000.0,22.00169,0.265533,0.65
1,E_Success_InterCeptRed,1000.0,22.220169,0.057041,0.65
1,E_Failure_CollRed,1000.0,21.854319,0.545755,0.65
1,E_Failure_InterCeptGreen,1000.0,22.400074,0.211725,0.6
1,E_Failure_InterCeptGreen,1000.0,22.220169,0.41081,0.55
1,E_Success_InterCeptRed,1000.0,22.267223,0.496269,0.55
1,E_Failure_InterCeptGreen,1000.0,22.27721,0.495489,0.6
1,E_Success_CollGreen,1000.0,22.611799,0.541683,0.55
1,E_Success_InterCeptRed,1000.0,22.763493,0.399918,0.55
1,E_Success_CollGreen,1000.0,22.63098,0.547068,0.6
1,E_Failure_InterCeptGreen,1000.0,22.772699,0.454666,0.6
1,E_Failure_InterCeptGreen,1000.0,23.227365,0.345041,0.55
1,E_Success_InterCeptRed,1000.0,23.16341,0.423618,0.5
1,E_Success_CollGreen,1000.0,23.153482,0.550356,0.5
1,E_Failure_CollRed,1000.0,23.178047,0.550262,0.55
1,E_Success_InterCeptRed,1000.0,23.72831,0.039749,0.5
1,E_Success_InterCeptRed,1000.0,23.587029,0.355146,0.55
1,E_Success_InterCeptRed,1000.0,23.572407,0.424084,0.55
1,E_Success_CollGreen,1000.0,23.703838,0.548983,0.6
1,E_Success_InterCeptRed,1000.0,23.99649,0.2913,0.6
1,E_Success_InterCeptRed,1000.0,23.942175,0.348972,0.65
1,E_Failure_CollRed,1000.0,23.768059,0.548704,0.65
1,E_Failure_InterCeptGreen,1000.0,24.316763,0.078857,0.6
1,E_Success_InterCeptRed,1000.0,24.28779,0.26384,0.6
1,E_Success_InterCeptRed,1000.0,24.291147,0.284407,0.65
1,E_Success_InterCeptRed,1000.0,24.252821,0.511044,0.7
1,E_Failure_InterCeptGreen,1000.0,24.55163,0.260653,0.7
1,E_Success_CollGreen,1000.0,24.39562,0.548176,0.7
1,E_Success_InterCeptRed,1000.0,24.575554,0.411488,0.7
1,E_Failure_InterCeptGreen,1000.0,24.763865,0.394129,0.7
1,E_Success_InterCeptRed,1000.0,24.943796,0.307392,0.65
1,E_Failure_CollRed,1000.0,24.812283,0.544706,0.7
1,E_Failure_InterCeptGreen,1000.0,25.356989,0.063526,0.7
1,E_Failure_CollRed,1000.0,24.987041,0.547022,0.65
1,E_Failure_InterCeptGreen,1000.0,25.534063,0.053509,0.6
1,E_Failure_CollRed,1000.0,25.157993,0.543987,0.6
1,E_Failure_CollRed,1000.0,25.251188,0.54874,0.55
1,E_Success_InterCeptRed,1000.0,25.420515,0.408113,0.5
1,E_Failure_InterCeptGreen,1000.0,25.799929,0.077936,0.5
1,E_Failure_InterCeptGreen,1000.0,25.587572,0.296309,0.45
1,E_Failure_InterCeptGreen,1000.0,25.877865,0.213736,0.4
1,E_Failure_InterCeptGreen,1000.0,25.828629,0.294479,0.35
1,E_Failure_InterCeptGreen,1000.0,25.883881,0.273163,0.35
1,E_Success_CollGreen,1000.0,25.701981,0.548098,0.35
1,E_Success_InterCeptRed,1000.0,26.0916,0.339615,0.35
1,E_Failure_InterCeptGreen,1000.0,26.250078,0.24509,0.35
1,E_Success_InterCeptRed,1000.0,26.157043,0.494877,0.3
1,E_Failure_InterCeptGreen,1000.0,26.123108,0.538826,0.35
1,E_Success_InterCeptRed,1000.0,26.431215,0.398403,0.3
1,E_Failure_InterCeptGreen,1000.0,26.65192,0.368336,0.3
1,E_Failure_InterCeptGreen,1000.0,26.661934,0.37328,0.3
1,E_Success_CollGreen,1000.0,26.495169,0.543919,0.25
1,E_Success_InterCeptRed,1000.0,26.829618,0.52648,0.3
1,E_Success_InterCeptRed,1000.0,27.039087,0.36595,0.35
1,E_Success_InterCeptRed,1000.0,27.035213,0.496496,0.4
1,E_Success_InterCeptRed,1000.0,27.020256,0.520674,0.45
1,E_Failure_InterCeptGreen,1000.0,27.356098,0.426691,0.5
1,E_Success_InterCeptRed,1000.0,27.405037,0.377752,0.5
1,E_Success_InterCeptRed,1000.0,27.53171,0.465691,0.5
1,E_Success_InterCeptRed,1000.0,27.54093,0.480516,0.55
1,E_Failure_CollRed,1000.0,27.782789,0.542349,0.6
1,E_Success_CollGreen,1000.0,27.782789,0.547743,0.6
1,E_Success_InterCeptRed,1000.0,27.9974,0.376711,0.65
1,E_Failure_InterCeptGreen,1000.0,28.325138,0.128809,0.7
1,E_Success_InterCeptRed,1000.0,28.330532,0.129833,0.65
1,E_Success_CollGreen,1000.0,28.021446,0.545448,0.65
1,E_Success_InterCeptRed,1000.0,28.460365,0.358723,0.7
1,E_Success_CollGreen,1000.0,28.374111,0.543558,0.7
1,E_Success_CollGreen,1000.0,28.453947,0.542057,0.75
1,E_Success_InterCeptRed,1000.0,28.566895,0.516697,0.75
1,E_Failure_InterCeptGreen,1000.0,28.819088,0.322409,0.8
1,E_Success_CollGreen,1000.0,28.917669,0.547731,0.8
1,E_Success_CollGreen,1000.0,28.996004,0.547277,0.8
1,E_Success_CollGreen,1000.0,29.083591,0.542639,0.8
1,E_Success_InterCeptRed,1000.0,29.465401,0.180838,0.8
1,E_Success_InterCeptRed,1000.0,29.62623,0.044132,0.8
1,E_Failure_CollRed,1000.0,29.141497,0.548197,0.8
1,E_Success_CollGreen,1000.0,29.543282,0.549417,0.8
1,E_Success_CollGreen,1000.0,29.646238,0.542412,0.8
1,E_Failure_CollRed,1000.0,29.670362,0.543573,0.8
1,E_Success_CollGreen,1000.0,29.689693,0.548903,0.75
1,E_Success_InterCeptRed,1000.0,30.213936,0.070959,0.8
1,E_Failure_InterCeptGreen,1000.0,30.238596,0.166626,0.8
1,E_Failure_InterCeptGreen,1000.0,30.092699,0.359085,0.75
1,E_Success_InterCeptRed,1000.0,30.18865,0.514982,0.75
1,E_Success_InterCeptRed,1000.0,30.284895,0.499704,0.75
1,E_Failure_CollRed,1000.0,30.405222,0.548294,0.75
1,E_Success_CollGreen,1000.0,30.451784,0.541178,0.7
1,E_Success_CollGreen,1000.0,30.703632,0.544731,0.7
1,E_Failure_CollRed,1000.0,30.784599,0.541866,0.7
1,E_Success_CollGreen,1000.0,30.953516,0.546869,0.65
1,E_Success_InterCeptRed,1000.0,31.326466,0.17392,0.7
1,E_Success_CollGreen,1000.0,30.992962,0.552122,0.7
1,E_Success_CollGreen,1000.0,31.248363,0.55164,0.7
1,E_Failure_InterCeptGreen,1000.0,31.500385,0.450541,0.7
1,E_Success_CollGreen,1000.0,31.500385,0.547413,0.65
1,E_Success_CollGreen,1000.0,31.545084,0.551912,0.65
1,E_Success_CollGreen,1000.0,31.800003,0.54805,0.7
1,E_Success_InterCeptRed,1000.0,31.950926,0.40637,0.7
1,E_Success_CollGreen,1000.0,32.047798,0.549435,0.7
1,E_Success_CollGreen,1000.0,32.096996,0.550617,0.75
1,E_Success_CollGreen,1000.0,32.348053,0.548668,0.75
1,E_Success_CollGreen,1000.0,32.357296,0.548702,0.75
1,E_Success_InterCeptRed,1000.0,32.647614,0.470203,0.8
1,E_Success_CollGreen,1000.0,32.597233,0.549465,0.85
1,E_Success_InterCeptRed,1000.0,32.896721,0.469238,0.85
1,E_Success_CollGreen,1000.0,32.905998,0.548115,0.85
1,E_Success_InterCeptRed,1000.0,33.146698,0.449806,0.9
1,E_Failure_CollRed,1000.0,33.117817,0.542229,0.9
1,E_Failure_InterCeptGreen,1000.0,33.660046,0.12067,0.85
1,E_Success_CollGreen,1000.0,33.365959,0.541805,0.85
1,E_Success_InterCeptRed,1000.0,33.454113,0.527035,0.85
1,E_Failure_CollRed,1000.0,33.596504,0.544563,0.85
1,E_Success_InterCeptRed,1000.0,34.141068,0.111851,0.8
1,E_Success_CollGreen,1000.0,33.780716,0.544491,0.8
1,E_Failure_CollRed,1000.0,33.907764,0.548824,0.85
1,E_Failure_InterCeptGreen,1000.0,34.456589,0.045452,0.8
1,E_Success_CollGreen,1000.0,33.981148,0.549313,0.75
1,E_Failure_InterCeptGreen,1000.0,34.252918,0.458664,0.75
1,E_Success_CollGreen,1000.0,34.325207,0.546799,0.7
1,E_Success_InterCeptRed,1000.0,34.502041,0.496864,0.7
1,E_Success_InterCeptRed,1000.0,34.53046,0.537231,0.7
1,E_Success_CollGreen,1000.0,34.711582,0.544331,0.7
1,E_Failure_CollRed,1000.0,34.872005,0.54969,0.7
1,E_Failure_InterCeptGreen,1000.0,35.421696,0.101875,0.65
1,E_Success_CollGreen,1000.0,34.998905,0.543827,0.6
1,E_Success_CollGreen,1000.0,35.067692,0.549667,0.6
1,E_Success_CollGreen,1000.0,35.255913,0.550678,0.6
1,E_Success_InterCeptRed,1000.0,35.617359,0.243988,0.6
1,E_Success_InterCeptRed,1000.0,35.542732,0.520653,0.65
1,E_Success_CollGreen,1000.0,35.523571,0.545631,0.7
1,E_Failure_CollRed,1000.0,35.806591,0.548336,0.7
1,E_Failure_InterCeptGreen,1000.0,36.354927,0.026062,0.65
1,E_Success_CollGreen,1000.0,35.861347,0.549282,0.65
1,E_Success_CollGreen,1000.0,36.063385,0.544609,0.65
1,E_Success_CollGreen,1000.0,36.069202,0.549694,0.65
1,E_Failure_InterCeptGreen,1000.0,36.410629,0.420547,0.7
1,E_Success_CollGreen,1000.0,36.380989,0.5438,0.7
