GameDataRecords from User Named:WakabayashiRie
EXPDayIndex,ResultType,CurrentUsedSpeed,LaunchedTime,ReactiontimeInterval,CurrentSuccessRate
1,E_Success_CollGreen,1000.0,116.510406,0.550117,0.0
1,E_Success_CollGreen,1000.0,116.510406,0.550117,0.0
1,E_Failure_CollRed,1000.0,116.510406,0.550117,0.0
1,E_Success_CollGreen,1000.0,116.510406,0.550117,0.0
1,E_Success_CollGreen,1000.0,117.060524,0.550117,0.0
1,E_Failure_CollRed,1000.0,117.060524,0.550117,0.0
1,E_Success_CollGreen,1000.0,117.060524,0.550117,0.0
1,E_Success_CollGreen,1000.0,117.060524,0.550117,0.0
1,E_Failure_CollRed,1000.0,117.610641,0.550117,0.0
1,E_Success_CollGreen,1000.0,117.610641,0.550117,0.0
1,E_Success_CollGreen,1000.0,117.610641,0.550117,0.0
1,E_Failure_CollRed,1000.0,117.610641,0.550117,0.0
1,E_Success_CollGreen,1000.0,118.160759,0.550117,0.0
1,E_Failure_CollRed,1000.0,118.160759,0.550117,0.0
1,E_Failure_CollRed,1000.0,118.160759,0.550117,0.0
1,E_Success_CollGreen,1000.0,118.160759,0.550117,0.0
1,E_Failure_InterCeptGreen,1000.0,118.710876,0.100021,0.0
1,E_Failure_InterCeptGreen,1000.0,118.710876,0.133362,0.0
1,E_Failure_CollRed,1000.0,118.710876,0.550117,0.0
1,E_Success_InterCeptRed,1000.0,119.260994,0.0,0.0
1,E_Success_CollGreen,1000.0,118.710876,0.550117,0.0
1,E_Failure_CollRed,1000.0,118.810898,0.533447,0.55
1,E_Failure_CollRed,1000.0,118.844238,0.533447,0.5
1,E_Success_InterCeptRed,1000.0,119.344345,0.133362,0.5
1,E_Success_CollGreen,1000.0,119.260994,0.550117,0.5
1,E_Failure_CollRed,1000.0,119.260994,0.550117,0.5
1,E_Failure_InterCeptGreen,1000.0,119.811111,0.083351,0.5
1,E_Success_CollGreen,1000.0,119.377686,0.550117,0.45
1,E_Success_CollGreen,1000.0,119.477707,0.533447,0.45
1,E_Success_CollGreen,1000.0,119.811111,0.550117,0.5
1,E_Success_CollGreen,1000.0,119.894463,0.533447,0.5
1,E_Success_CollGreen,1000.0,119.927803,0.550117,0.5
1,E_Success_CollGreen,1000.0,120.011154,0.550117,0.55
1,E_Success_InterCeptRed,1000.0,120.361229,0.416756,0.55
1,E_Success_InterCeptRed,1000.0,120.561272,0.400085,0.6
1,E_Success_CollGreen,1000.0,120.42791,0.550117,0.65
1,E_Failure_CollRed,1000.0,120.477921,0.550117,0.65
1,E_Failure_CollRed,1000.0,120.777985,0.550117,0.65
1,E_Success_InterCeptRed,1000.0,121.028038,0.383415,0.65
1,E_Failure_CollRed,1000.0,120.961357,0.533447,0.7
1,E_Success_CollGreen,1000.0,120.978027,0.550117,0.65
1,E_Failure_InterCeptGreen,1000.0,121.494804,0.100021,0.65
1,E_Success_InterCeptRed,1000.0,121.328102,0.483437,0.65
1,E_Failure_CollRed,1000.0,121.411453,0.533447,0.7
1,E_Failure_CollRed,1000.0,121.528145,0.550117,0.65
1,E_Failure_CollRed,1000.0,121.594826,0.533447,0.6
1,E_Failure_InterCeptGreen,1000.0,121.944901,0.200043,0.6
1,E_Failure_CollRed,1000.0,121.811539,0.550117,0.6
