GameDataRecords from User Named:li chuanfa
EXPDayIndex,ResultType,CurrentUsedSpeed,LaunchedTime,ReactiontimeInterval,CurrentSuccessRate
1,E_Failure_InterCeptGreen,500.0,88.759064,0.832535,0.0
1,E_Failure_InterCeptGreen,500.0,88.759064,0.906151,0.0
1,E_Failure_InterCeptGreen,500.0,88.759064,0.937927,0.0
1,E_Failure_CollRed,500.0,88.759064,1.095512,0.0
1,E_Failure_InterCeptGreen,500.0,89.696991,0.592995,0.0
1,E_Failure_CollRed,500.0,89.591599,1.090645,0.0
1,E_Failure_CollRed,500.0,89.665215,1.094765,0.0
1,E_Failure_InterCeptGreen,500.0,90.289986,0.502861,0.0
1,E_Failure_CollRed,500.0,89.854576,1.095093,0.0
1,E_Failure_InterCeptGreen,500.0,90.682243,0.445961,0.0
1,E_Failure_InterCeptGreen,500.0,90.949669,0.692703,0.0
1,E_Failure_CollRed,500.0,90.759979,1.096146,0.0
1,E_Failure_CollRed,500.0,90.792847,1.091103,0.0
1,E_Failure_InterCeptGreen,500.0,91.642372,0.453278,0.0
1,E_Failure_CollRed,500.0,91.128204,1.091393,0.0
1,E_Failure_InterCeptGreen,500.0,91.856125,0.577812,0.0
1,E_Failure_InterCeptGreen,500.0,91.883949,0.58197,0.0
1,E_Failure_InterCeptGreen,500.0,92.219597,0.316856,0.0
1,E_Failure_InterCeptGreen,500.0,92.09565,0.551743,0.0
1,E_Failure_InterCeptGreen,500.0,92.647392,0.35997,0.0
1,E_Failure_InterCeptGreen,500.0,92.465919,0.613533,0.0
1,E_Failure_InterCeptGreen,500.0,92.433937,0.773026,0.0
1,E_Success_InterCeptRed,500.0,93.079453,0.263695,0.0
1,E_Success_InterCeptRed,500.0,93.007362,0.346062,0.05
1,E_Failure_CollRed,500.0,92.536453,1.092476,0.1
1,E_Failure_InterCeptGreen,500.0,93.206963,0.545059,0.1
1,E_Failure_InterCeptGreen,500.0,93.353424,0.552582,0.1
1,E_Failure_InterCeptGreen,500.0,93.752022,0.584328,0.1
1,E_Success_InterCeptRed,500.0,93.906006,0.501694,0.1
1,E_Failure_CollRed,500.0,93.343147,1.092705,0.15
1,E_Failure_CollRed,500.0,93.628929,1.09433,0.15
1,E_Failure_InterCeptGreen,500.0,94.336349,0.496544,0.15
1,E_Failure_InterCeptGreen,500.0,94.435852,0.532532,0.15
1,E_Failure_InterCeptGreen,500.0,94.723259,0.396545,0.15
1,E_Success_InterCeptRed,500.0,94.968384,0.270927,0.15
1,E_Failure_CollRed,500.0,94.4077,1.089592,0.2
1,E_Failure_CollRed,500.0,94.832893,1.094246,0.2
1,E_Failure_InterCeptGreen,500.0,95.497292,0.46167,0.2
1,E_Failure_CollRed,500.0,95.119804,1.091263,0.2
1,E_Failure_CollRed,500.0,95.239311,1.091003,0.2
1,E_Failure_InterCeptGreen,500.0,95.927139,0.466568,0.2
1,E_Failure_InterCeptGreen,500.0,96.330315,0.526031,0.2
1,E_Failure_CollRed,500.0,95.958961,1.090111,0.2
1,E_Failure_CollRed,500.0,96.211067,1.095612,0.15
